Pert,Kpa,Tprot
AC220,AAK1,AAK1
AC220,AAK1,CLDN3
AC220,AAK1,IKZF3
AC220,AAK1,L1RE1
AC220,AAK1,PLEC
AC220,ACVR2A,AKAP8
AC220,ACVR2A,AVEN
AC220,ACVR2A,BOP1
AC220,ACVR2A,CLNS1A
AC220,ACVR2A,CPD
AC220,ACVR2A,DDX21
AC220,ACVR2A,DHX16
AC220,ACVR2A,DNAJC21
AC220,ACVR2A,EIF4G1
AC220,ACVR2A,EIPR1
AC220,ACVR2A,G3BP2
AC220,ACVR2A,GTPBP1
AC220,ACVR2A,HDAC1
AC220,ACVR2A,HDAC2
AC220,ACVR2A,HIRIP3
AC220,ACVR2A,HMGA1
AC220,ACVR2A,INCENP
AC220,ACVR2A,KLHDC4
AC220,ACVR2A,KRI1
AC220,ACVR2A,MCM3
AC220,ACVR2A,MFAP1
AC220,ACVR2A,MSH6
AC220,ACVR2A,NACA
AC220,ACVR2A,NCL
AC220,ACVR2A,NUCKS1
AC220,ACVR2A,PCM1
AC220,ACVR2A,PCNP
AC220,ACVR2A,PDAP1
AC220,ACVR2A,PHIP
AC220,ACVR2A,PJA1
AC220,ACVR2A,PNISR
AC220,ACVR2A,PRPF3
AC220,ACVR2A,PRPF38A
AC220,ACVR2A,PTGES3
AC220,ACVR2A,RANBP2
AC220,ACVR2A,RIC8A
AC220,ACVR2A,RPLP0P6
AC220,ACVR2A,RPLP2
AC220,ACVR2A,RPRD2
AC220,ACVR2A,SF3B2
AC220,ACVR2A,SMARCAD1
AC220,ACVR2A,TOP2A
AC220,ACVR2A,UTP18
AC220,ACVR2A,VRK3
AC220,ACVR2B,AKAP8
AC220,ACVR2B,AVEN
AC220,ACVR2B,BOP1
AC220,ACVR2B,CLNS1A
AC220,ACVR2B,CPD
AC220,ACVR2B,DDX21
AC220,ACVR2B,DNAJC21
AC220,ACVR2B,DPF2
AC220,ACVR2B,EIF4G1
AC220,ACVR2B,EIPR1
AC220,ACVR2B,G3BP2
AC220,ACVR2B,GTPBP1
AC220,ACVR2B,HDAC1
AC220,ACVR2B,HDAC2
AC220,ACVR2B,HIRIP3
AC220,ACVR2B,HSP90AA1
AC220,ACVR2B,INCENP
AC220,ACVR2B,KLHDC4
AC220,ACVR2B,KRI1
AC220,ACVR2B,MCM3
AC220,ACVR2B,MFAP1
AC220,ACVR2B,MORC2
AC220,ACVR2B,MSH6
AC220,ACVR2B,NACA
AC220,ACVR2B,NCL
AC220,ACVR2B,NUCKS1
AC220,ACVR2B,OXSR1
AC220,ACVR2B,PCM1
AC220,ACVR2B,PCNP
AC220,ACVR2B,PDAP1
AC220,ACVR2B,PHIP
AC220,ACVR2B,PJA1
AC220,ACVR2B,PNISR
AC220,ACVR2B,PRMT3
AC220,ACVR2B,PRPF3
AC220,ACVR2B,PRPF38A
AC220,ACVR2B,PTGES3
AC220,ACVR2B,RANBP2
AC220,ACVR2B,RIC8A
AC220,ACVR2B,RPLP0P6
AC220,ACVR2B,RPLP2
AC220,ACVR2B,RPRD2
AC220,ACVR2B,SF3B2
AC220,ACVR2B,TOP2A
AC220,ACVR2B,UTP18
AC220,ACVR2B,VRK3
AC220,ACVR2B,ZC3H11A
AC220,AKT1,ANKRD2
AC220,AKT1,ANKRD34A
AC220,AKT1,ARHGEF5
AC220,AKT1,BORCS6
AC220,AKT1,CDK13
AC220,AKT1,CHERP
AC220,AKT1,CTR9
AC220,AKT1,EMSY
AC220,AKT1,FBXO42
AC220,AKT1,KIF4A
AC220,AKT1,KNL1
AC220,AKT1,LRCH4
AC220,AKT1,MEX3C
AC220,AKT1,MYO10
AC220,AKT1,NCAPH
AC220,AKT1,NUFIP2
AC220,AKT1,PLIN5
AC220,AKT1,PPP1R13L
AC220,AKT1,PRKD1
AC220,AKT1,PRKD2
AC220,AKT1,RPL28
AC220,AKT1,RPS6
AC220,AKT1,SON
AC220,AKT1,SPECC1L
AC220,AKT1,SRRM1
AC220,AKT1,SRRM2
AC220,AKT1,SRSF10
AC220,AKT1,TRPC6
AC220,AKT2,ANKRD2
AC220,AKT2,ANKRD34A
AC220,AKT2,ARHGEF5
AC220,AKT2,BORCS6
AC220,AKT2,CDK13
AC220,AKT2,CHERP
AC220,AKT2,CTR9
AC220,AKT2,EMSY
AC220,AKT2,FBXO42
AC220,AKT2,KIF4A
AC220,AKT2,KNL1
AC220,AKT2,LBR
AC220,AKT2,LRCH4
AC220,AKT2,MED13
AC220,AKT2,MEX3C
AC220,AKT2,MYO10
AC220,AKT2,NCAPH
AC220,AKT2,NUFIP2
AC220,AKT2,PLIN5
AC220,AKT2,PPP1R13L
AC220,AKT2,PRKD1
AC220,AKT2,PRKD2
AC220,AKT2,RPS6
AC220,AKT2,SPECC1L
AC220,AKT2,SRRM1
AC220,AKT2,SRRM2
AC220,AKT2,TRPC6
AC220,AKT2,WWC3
AC220,AKT3,ANKRD2
AC220,AKT3,ANKRD34A
AC220,AKT3,ARHGEF5
AC220,AKT3,BORCS6
AC220,AKT3,CDK13
AC220,AKT3,CHERP
AC220,AKT3,CTR9
AC220,AKT3,EMSY
AC220,AKT3,FBXO42
AC220,AKT3,KIF4A
AC220,AKT3,KNL1
AC220,AKT3,LRCH4
AC220,AKT3,MED13
AC220,AKT3,MYO10
AC220,AKT3,NUFIP2
AC220,AKT3,PANK2
AC220,AKT3,PLCB3
AC220,AKT3,PLIN5
AC220,AKT3,PPP1R13L
AC220,AKT3,PRKD1
AC220,AKT3,PRKD2
AC220,AKT3,RASGRP2
AC220,AKT3,RPS6
AC220,AKT3,SON
AC220,AKT3,SPECC1L
AC220,AKT3,SRRM1
AC220,AKT3,SRRM2
AC220,AKT3,TRPC6
AC220,AKT3,WWC3
AC220,ATM,C1orf21
AC220,ATM,DPF2
AC220,ATM,FAM171A1
AC220,ATM,HMGA1
AC220,ATM,KAT5
AC220,ATM,MFAP1
AC220,ATM,NCL
AC220,ATM,NDRG2
AC220,ATM,NEO1
AC220,ATM,NUCB1
AC220,ATM,NUCKS1
AC220,ATM,PCNP
AC220,ATM,PTGES3
AC220,ATM,RPAP3
AC220,ATM,UPF1
AC220,ATM,ZC3H14
AC220,ATR,DHX9
AC220,ATR,KHDRBS1
AC220,ATR,MTMR7
AC220,ATR,NDRG2
AC220,ATR,NEO1
AC220,ATR,NIFK
AC220,ATR,NUCB1
AC220,ATR,NUCKS1
AC220,ATR,PLEKHM1
AC220,ATR,RIPOR1
AC220,ATR,RPS28
AC220,ATR,ZC3H14
AC220,BCKDK,ATP2B4
AC220,BCKDK,BRAF
AC220,BCKDK,DMWD
AC220,BCKDK,DOCK6
AC220,BCKDK,NUCKS1
AC220,BCKDK,PDHA1
AC220,BCKDK,PHLDB2
AC220,BCKDK,PTPN1
AC220,BCKDK,RALGPS2
AC220,BCKDK,SMARCA5
AC220,BCKDK,SPECC1
AC220,BCKDK,TARDBP
AC220,BCKDK,TIAM1
AC220,BCKDK,TNKS1BP1
AC220,BCKDK,TP53BP1
AC220,BMPR1A,C9orf78
AC220,BMPR1A,CLNS1A
AC220,BMPR1A,CPD
AC220,BMPR1A,DDX21
AC220,BMPR1A,DHX16
AC220,BMPR1A,EIF4G1
AC220,BMPR1A,EIPR1
AC220,BMPR1A,G3BP2
AC220,BMPR1A,GCFC2
AC220,BMPR1A,HDAC1
AC220,BMPR1A,HDAC2
AC220,BMPR1A,HIRIP3
AC220,BMPR1A,HMGA1
AC220,BMPR1A,IWS1
AC220,BMPR1A,KDM1A
AC220,BMPR1A,KLHDC4
AC220,BMPR1A,KRI1
AC220,BMPR1A,MCM3
AC220,BMPR1A,MFAP1
AC220,BMPR1A,MSH6
AC220,BMPR1A,NACA
AC220,BMPR1A,NCL
AC220,BMPR1A,NUCKS1
AC220,BMPR1A,PCM1
AC220,BMPR1A,PCNP
AC220,BMPR1A,PDAP1
AC220,BMPR1A,PHIP
AC220,BMPR1A,PJA1
AC220,BMPR1A,PNISR
AC220,BMPR1A,PRPF3
AC220,BMPR1A,PRPF38A
AC220,BMPR1A,PTGES3
AC220,BMPR1A,RANBP2
AC220,BMPR1A,RIC8A
AC220,BMPR1A,RPLP0P6
AC220,BMPR1A,RPLP2
AC220,BMPR1A,RPRD2
AC220,BMPR1A,THOC5
AC220,BMPR1A,TOP2A
AC220,BMPR1A,UTP18
AC220,BMPR1A,VRK3
AC220,BMPR1A,XRN2
AC220,BMPR1A,ZC3H11A
AC220,BMPR1B,CLNS1A
AC220,BMPR1B,CPD
AC220,BMPR1B,DDX21
AC220,BMPR1B,DHX16
AC220,BMPR1B,DNAJC21
AC220,BMPR1B,EIF4G1
AC220,BMPR1B,G3BP2
AC220,BMPR1B,GCFC2
AC220,BMPR1B,HDAC1
AC220,BMPR1B,HDAC2
AC220,BMPR1B,HIRIP3
AC220,BMPR1B,HMGA1
AC220,BMPR1B,IWS1
AC220,BMPR1B,KDM1A
AC220,BMPR1B,KDM5A
AC220,BMPR1B,KLHDC4
AC220,BMPR1B,KRI1
AC220,BMPR1B,MCM3
AC220,BMPR1B,MFAP1
AC220,BMPR1B,MSH6
AC220,BMPR1B,NACA
AC220,BMPR1B,NCL
AC220,BMPR1B,NUCKS1
AC220,BMPR1B,PCM1
AC220,BMPR1B,PCNP
AC220,BMPR1B,PDAP1
AC220,BMPR1B,PHIP
AC220,BMPR1B,PJA1
AC220,BMPR1B,PNISR
AC220,BMPR1B,PRPF3
AC220,BMPR1B,PRPF38A
AC220,BMPR1B,PTGES3
AC220,BMPR1B,PUS1
AC220,BMPR1B,RANBP2
AC220,BMPR1B,RIC8A
AC220,BMPR1B,RPLP0P6
AC220,BMPR1B,RPLP2
AC220,BMPR1B,TOP2A
AC220,BMPR1B,UTP18
AC220,BMPR1B,VRK3
AC220,BMPR1B,XRN2
AC220,BMPR2,BPTF
AC220,BMPR2,BRD9
AC220,BMPR2,C1orf174
AC220,BMPR2,EIF4G1
AC220,BMPR2,GTPBP1
AC220,BMPR2,HDAC1
AC220,BMPR2,HDAC2
AC220,BMPR2,HSP90AB2P
AC220,BMPR2,KAT5
AC220,BMPR2,NCL
AC220,BMPR2,NUCKS1
AC220,BMPR2,PACSIN3
AC220,BMPR2,PCM1
AC220,BMPR2,PJA1
AC220,BMPR2,PTGES3
AC220,BRAF,BORCS6
AC220,BRAF,CALD1
AC220,BRAF,CPD
AC220,BRAF,EIF4B
AC220,BRAF,GNL1
AC220,BRAF,KNOP1
AC220,BRAF,MCM3
AC220,BRAF,PACSIN2
AC220,BRAF,PIKFYVE
AC220,BRSK1,ARHGAP19
AC220,BRSK1,BRD1
AC220,BRSK1,CDK13
AC220,BRSK1,CERT1
AC220,BRSK1,CGN
AC220,BRSK1,DENND1A
AC220,BRSK1,DMWD
AC220,BRSK1,EIF5B
AC220,BRSK1,FBXO42
AC220,BRSK1,GLCCI1
AC220,BRSK1,HNRNPA2B1
AC220,BRSK1,JCAD
AC220,BRSK1,POM121C
AC220,BRSK1,PPP1R13L
AC220,BRSK1,PRKD1
AC220,BRSK1,PRKD2
AC220,BRSK1,PRRC2A
AC220,BRSK1,RET
AC220,BRSK1,RHPN2
AC220,BRSK1,RPS27A
AC220,BRSK1,SHANK2
AC220,BRSK1,SPAST
AC220,BRSK1,SRRM2
AC220,BRSK1,SRSF10
AC220,BRSK1,TIAM1
AC220,BRSK1,TMCC1
AC220,BRSK1,TMCC2
AC220,BRSK1,TRIM2
AC220,BRSK1,TRIM3
AC220,BRSK1,UHRF1BP1
AC220,BRSK2,ARHGAP19
AC220,BRSK2,BRD1
AC220,BRSK2,CDK13
AC220,BRSK2,CERT1
AC220,BRSK2,CGN
AC220,BRSK2,DMWD
AC220,BRSK2,E2F7
AC220,BRSK2,GLCCI1
AC220,BRSK2,NCAPD3
AC220,BRSK2,POM121C
AC220,BRSK2,PPP1R13L
AC220,BRSK2,PRKD1
AC220,BRSK2,PRKD2
AC220,BRSK2,PRR12
AC220,BRSK2,PRRC2A
AC220,BRSK2,RHPN2
AC220,BRSK2,RPS27A
AC220,BRSK2,SHROOM3
AC220,BRSK2,SPAST
AC220,BRSK2,SRRM2
AC220,BRSK2,SRSF10
AC220,BRSK2,TIAM1
AC220,BRSK2,TMCC1
AC220,BRSK2,TMCC2
AC220,BRSK2,TRIM2
AC220,BRSK2,TRIM3
AC220,BRSK2,UHRF1BP1
AC220,BUB1,ARHGEF5
AC220,BUB1,CDK13
AC220,BUB1,CHERP
AC220,BUB1,CLDN3
AC220,BUB1,EMSY
AC220,BUB1,HDAC7
AC220,BUB1,IMMT
AC220,BUB1,KIAA1522
AC220,BUB1,KIF4A
AC220,BUB1,KLHDC4
AC220,BUB1,LBR
AC220,BUB1,METAP2
AC220,BUB1,NCAPH
AC220,BUB1,NCBP3
AC220,BUB1,NFATC2IP
AC220,BUB1,NTHL1
AC220,BUB1,PHACTR2
AC220,BUB1,PRRT3
AC220,BUB1,SRRM1
AC220,BUB1,SRRM2
AC220,BUB1,SRSF2
AC220,BUB1,TBC1D10B
AC220,CAMK1D,ANKRD34A
AC220,CAMK1D,ARHGAP19
AC220,CAMK1D,BRAF
AC220,CAMK1D,CDK13
AC220,CAMK1D,CEP131
AC220,CAMK1D,CHERP
AC220,CAMK1D,EMSY
AC220,CAMK1D,EPS8
AC220,CAMK1D,GOLGA5
AC220,CAMK1D,KIF4A
AC220,CAMK1D,KNL1
AC220,CAMK1D,MEX3C
AC220,CAMK1D,NCAPH
AC220,CAMK1D,NIFK
AC220,CAMK1D,PPP1R13L
AC220,CAMK1D,PRKD1
AC220,CAMK1D,PRKD2
AC220,CAMK1D,PRRC2A
AC220,CAMK1D,RPL27A
AC220,CAMK1D,SHANK2
AC220,CAMK1D,SON
AC220,CAMK1D,SRRM1
AC220,CAMK1D,SRRM2
AC220,CAMK1D,SRSF10
AC220,CAMK1G,ARHGAP19
AC220,CAMK1G,CDK13
AC220,CAMK1G,CEP131
AC220,CAMK1G,CHERP
AC220,CAMK1G,EMSY
AC220,CAMK1G,KIF4A
AC220,CAMK1G,KNL1
AC220,CAMK1G,LBR
AC220,CAMK1G,METAP2
AC220,CAMK1G,MEX3C
AC220,CAMK1G,MYO10
AC220,CAMK1G,NCAPH
AC220,CAMK1G,NIFK
AC220,CAMK1G,NUFIP2
AC220,CAMK1G,NUMBL
AC220,CAMK1G,PPP1R13L
AC220,CAMK1G,PRICKLE1
AC220,CAMK1G,PRKD1
AC220,CAMK1G,PRKD2
AC220,CAMK1G,RPL27A
AC220,CAMK1G,RPL28
AC220,CAMK1G,SHANK2
AC220,CAMK1G,SON
AC220,CAMK1G,SRRM2
AC220,CAMK1G,SRSF10
AC220,CAMK1G,SRSF2
AC220,CAMK1G,SRSF4
