Pert,Kpa,Tprot
AC220,BRSK1,CDC25B
AC220,CAMK2D,CAMK2D
AC220,CAMKK1,CAMK1
AC220,CAMKK1,HDAC4
AC220,CAMKK2,CAMK1
AC220,CDC14A,TP53
AC220,CDC14B,TP53
AC220,CDK5,ADD2
AC220,CDK5,CTNNB1
AC220,CDK5,DBN1
AC220,CDK5,DNM1
AC220,CDK5,FZR1
AC220,CDK5,MYC
AC220,CDK5,PPP1R1A
AC220,CDK5,PTK2
AC220,CDK5,PXN
AC220,CDK5,RBL2
AC220,CDK5,TLN1
AC220,CLK2,CLK2
AC220,CSNK1A1,ECE1
AC220,CSNK1A1,HNRNPC
AC220,CSNK1A1,TARDBP
AC220,CSNK2A1,AKT1
AC220,CSNK2A1,ANP32B
AC220,CSNK2A1,CANX
AC220,CSNK2A1,EEF1B2
AC220,CSNK2A1,HDAC1
AC220,CSNK2A1,HDAC2
AC220,CSNK2A1,HMGA1
AC220,CSNK2A1,HMGN1
AC220,CSNK2A1,HNRNPA1
AC220,CSNK2A1,HNRNPC
AC220,CSNK2A1,HSP90AA1
AC220,CSNK2A1,HSP90AB1
AC220,CSNK2A1,IKZF1
AC220,CSNK2A1,KDM1A
AC220,CSNK2A1,LIG1
AC220,CSNK2A1,MDC1
AC220,CSNK2A1,MYH9
AC220,CSNK2A1,NCOA2
AC220,CSNK2A1,PPP1R2
AC220,CSNK2A1,PTGES3
AC220,CSNK2A1,PTPN1
AC220,CSNK2A1,RRN3
AC220,CSNK2A2,CANX
AC220,CSNK2A2,EEF1B2
AC220,CSNK2A2,HDAC1
AC220,CSNK2A2,HDAC2
AC220,CSNK2A2,HMGA1
AC220,CSNK2A2,HNRNPC
AC220,CSNK2A2,HSP90AB1
AC220,CSNK2A2,LIG1
AC220,CSNK2A2,PPP1R2
AC220,CSNK2A2,PTPN1
AC220,FER,CTTN
AC220,GRK2,RPLP2
AC220,GSK3A,GYS1
AC220,GSK3A,MYC
AC220,GSK3A,SFPQ
AC220,IKBKE,AKT1
AC220,IKBKE,IRS1
AC220,LRRK2,AKT1
AC220,LRRK2,DNAJC6
AC220,MAP3K3,RCAN1
AC220,MAPK1,ABI1
AC220,MAPK1,CALD1
AC220,MAPK1,MYC
AC220,MAPK1,NUP153
AC220,MAPK1,PKM
AC220,MAPK1,RAF1
AC220,MAPK1,RBM17
AC220,MAPK1,RPS6KA1
AC220,MAPK1,RPS6KB1
AC220,MAPK1,RRAS2
AC220,MAPK1,SORBS3
AC220,MAPK1,SPHK2
AC220,MAPK1,TPR
AC220,MAPK11,CDC25B
AC220,MAPK11,GYS1
AC220,MAPK14,CDC25B
AC220,MAPK14,PSMD1
AC220,MAPK14,PXN
AC220,MAPKAPK2,AKT1
AC220,MAPKAPK2,CEP131
AC220,MAPKAPK2,NELFE
AC220,MTOR,AKT1
AC220,MTOR,ANKRD17
AC220,MTOR,BAG3
AC220,MTOR,EEF2K
AC220,MTOR,EIF4EBP1
AC220,MTOR,IRS1
AC220,MTOR,LARP1
AC220,MTOR,LARP6
AC220,MTOR,MAF1
AC220,MTOR,OXSR1
AC220,MTOR,PATL1
AC220,MTOR,RPTOR
AC220,MTOR,SRRM1
AC220,NEK9,NEK9
AC220,PDK1,AKT1
AC220,PDK1,FOXO1
AC220,PDK1,PDCD4
AC220,PDK1,PDHA1
AC220,PDK1,PDHA2
AC220,PDK1,TSC2
AC220,PDK2,AKT1
AC220,PDK2,PDHA1
AC220,PDK2,PDHA2
AC220,PDK3,PDHA1
AC220,PDK3,PDHA2
AC220,PDK4,PDHA1
AC220,PDK4,PDHA2
AC220,PDPK1,AKT1
AC220,PDPK1,PDHA1
AC220,PHLPP1,AKT1
AC220,PHLPP2,AKT1
AC220,PPP3CA,DNM2
AC220,PPP3CA,NFATC2
AC220,PPP3CA,PPP1R1A
AC220,PPP3CB,DNM2
AC220,PPP3CB,NFATC2
AC220,PPP3CB,PPP1R1A
AC220,PPP3CC,DNM2
AC220,PPP3CC,NFATC2
AC220,PPP3CC,PPP1R1A
AC220,PRKACA,ADD1
AC220,PRKACA,AKAP12
AC220,PRKACA,ATP2B1
AC220,PRKACA,CTNND1
AC220,PRKACA,DNAJC5
AC220,PRKACA,GJA1
AC220,PRKACA,GJB1
AC220,PRKACA,HMGN2
AC220,PRKACA,ITGA4
AC220,PRKACA,ITPR1
AC220,PRKACA,LASP1
AC220,PRKACA,LCP1
AC220,PRKACA,MARCKS
AC220,PRKACA,MSN
AC220,PRKACA,NCOA3
AC220,PRKACA,NCOR1
AC220,PRKACA,NFATC1
AC220,PRKACA,PFKFB2
AC220,PRKACA,PPP1R1A
AC220,PRKACA,PPP2R5D
AC220,PRKACA,PRKAA2
AC220,PRKACA,STMN1
AC220,PRKACA,SUN2
AC220,PRKACA,TAGLN2
AC220,PRKCA,ADD3
AC220,PRKCA,CANX
AC220,PRKCA,CBL
AC220,PRKCA,CTNND1
AC220,PRKCA,F11R
AC220,PRKCA,GJB1
AC220,PRKCA,HMGN2
AC220,PRKCA,MARCKS
AC220,PRKCA,MARK2
AC220,PRKCA,NCOR1
AC220,PRKCA,PEA15
AC220,PRKCA,PPP1R1A
AC220,PRKCA,SDC2
AC220,PRKCA,SHC1
AC220,PRKCA,VIM
AC220,PRKCE,ADD3
AC220,PRKCE,CANX
AC220,PRKCE,GJA1
AC220,PRKCE,GJB1
AC220,PRKCE,MARCKS
AC220,PRKCE,PEA15
AC220,PRKCE,SDC2
AC220,PTK2B,CTTN
AC220,SGK1,FOXO1
AC220,SGK2,FOXO1
AC220,SIK2,CRTC1
AC220,SIK3,CRTC2
AC220,TBK1,AKT1
AC220,TBK1,IRS1
AT13148,AURKA,NDC80
AT13148,AURKA,TP53
AT13148,AURKB,DDX3X
AT13148,AURKB,DDX52
AT13148,AURKB,KIF4A
AT13148,AURKB,KNL1
AT13148,AURKB,MKI67
AT13148,AURKB,NDC80
AT13148,AURKB,RBM14
AT13148,BRSK1,CDC25B
AT13148,BUB1,BUB1
AT13148,BUB1,CDC20
AT13148,CAMK2B,CTNNB1
AT13148,CAMK2B,GSK3A
AT13148,CAMK2B,STMN1
AT13148,CAMK2D,CAMK2D
AT13148,CDC14A,TP53
AT13148,CDC14B,TP53
AT13148,CDC42BPA,MYL9
AT13148,CDC42BPA,PPP1R12C
AT13148,CIT,MYL9
AT13148,CLK4,ABL1
AT13148,CSNK1E,EIF4EBP1
AT13148,CSNK2A1,CANX
AT13148,CSNK2A1,DEK
AT13148,CSNK2A1,EEF1B2
AT13148,CSNK2A1,EIF5
AT13148,CSNK2A1,GYS1
AT13148,CSNK2A1,HDAC1
AT13148,CSNK2A1,HDAC2
AT13148,CSNK2A1,HMGA1
AT13148,CSNK2A1,HSP90AB1
AT13148,CSNK2A1,IKZF1
AT13148,CSNK2A1,KDM1A
AT13148,CSNK2A1,MDC1
AT13148,CSNK2A1,MYH9
AT13148,CSNK2A1,PAWR
AT13148,CSNK2A1,RRN3
AT13148,CSNK2A2,CANX
AT13148,CSNK2A2,EEF1B2
AT13148,CSNK2A2,HDAC1
AT13148,CSNK2A2,HDAC2
AT13148,CSNK2A2,HMGA1
AT13148,CSNK2A2,HSP90AB1
AT13148,CSNK2B,EIF5
AT13148,CSNK2B,IKZF1
AT13148,DAPK3,MYL12B
AT13148,DAPK3,MYL9
AT13148,DMPK,PPP1R12A
AT13148,EIF2AK2,TP53
AT13148,ILK,MYL12B
AT13148,ILK,PPP1R12A
AT13148,MAP3K12,MYL12B
AT13148,MAP3K8,ABL1
AT13148,MAP3K8,MSN
AT13148,MAP3K8,NPM1
AT13148,MAPK12,CDC25B
AT13148,MAPK13,CDC25B
AT13148,MYLK,MYL12B
AT13148,MYLK,MYL9
AT13148,MYLK3,MYL12B
AT13148,NUAK1,PPP1R12A
AT13148,NUAK1,TP53
AT13148,PAK2,MYL9
AT13148,PAK2,NF2
AT13148,PAK2,RPS6
AT13148,PHKG1,PYGM
AT13148,PHKG2,PYGM
AT13148,PLK1,CDC25B
AT13148,PLK1,MYC
AT13148,PLK1,PPP1R7
AT13148,PLK1,VIM
AT13148,PPP1CB,AXIN1
AT13148,PPP1CB,NF2
AT13148,PRKACA,ADD1
AT13148,PRKACA,ADD2
AT13148,PRKACA,ARHGEF6
AT13148,PRKACA,CAD
AT13148,PRKACA,CTNNB1
AT13148,PRKACA,FLNA
AT13148,PRKACA,GJA1
AT13148,PRKACA,GSK3A
AT13148,PRKACA,GYS1
AT13148,PRKACA,HSPB1
AT13148,PRKACA,LASP1
AT13148,PRKACA,MAP2
AT13148,PRKACA,NCOR1
AT13148,PRKACA,NDE1
AT13148,PRKACA,NDRG1
AT13148,PRKACA,NF2
AT13148,PRKACA,NFATC1
AT13148,PRKACA,PDE3B
AT13148,PRKACA,PRKAR2A
AT13148,PRKACA,RASGRP2
AT13148,PRKACA,STMN1
AT13148,PRKACA,SUN2
AT13148,PRKACA,VASP
AT13148,PRKCA,ADD1
AT13148,PRKCA,ADD2
AT13148,PRKCA,ADD3
AT13148,PRKCA,BLVRA
AT13148,PRKCA,CYBA
AT13148,PRKCA,GSK3A
