pert_in,k_pred,psts_explained,expl_known_psts
AT13148,NUAK2,32,0.055
AT13148,DYRK4,24,0.041
AT13148,PAK1,53,0.091
AT13148,PIM1,56,0.096
AT13148,NEK1,9,0.015
AT13148,IRAK1,14,0.024
AT13148,CAMKK2,6,0.010
AT13148,NUAK1,35,0.060
AT13148,RAF1,22,0.038
AT13148,NEK4,12,0.021
AT13148,PAK5,48,0.083
AT13148,DAPK1,60,0.103
AT13148,PHKG1,38,0.065
AT13148,HIPK2,20,0.034
AT13148,VRK2,7,0.012
AT13148,MYLK4,72,0.124
AT13148,MYO3A,6,0.010
AT13148,SRPK3,18,0.031
AT13148,CDK7,15,0.026
AT13148,CDK12,13,0.022
AT13148,RIPK2,17,0.029
AT13148,SNRK,49,0.084
AT13148,CAMK1D,66,0.114
AT13148,ACVR2B,39,0.067
AT13148,WNK4,27,0.046
AT13148,BMPR1B,64,0.110
AT13148,PBK,12,0.021
AT13148,BUB1,16,0.028
AT13148,NEK8,11,0.019
AT13148,TTK,4,0.007
AT13148,PRKD1,50,0.086
AT13148,ROCK1,45,0.077
AT13148,NEK11,49,0.084
AT13148,SMG1,7,0.012
AT13148,CDK2,39,0.067
AT13148,MAPKAPK2,47,0.081
AT13148,PRKD3,57,0.098
AT13148,BMPR1A,65,0.112
AT13148,GAK,4,0.007
AT13148,IRAK4,17,0.029
AT13148,ROCK2,48,0.083
AT13148,PKN3,46,0.079
AT13148,CDK4,11,0.019
AT13148,DAPK3,50,0.086
AT13148,PIM2,75,0.129
AT13148,PKN1,51,0.088
AT13148,PLK3,34,0.059
AT13148,ULK1,38,0.065
AT13148,CLK2,46,0.079
AT13148,CDK16,13,0.022
AT13148,PINK1,20,0.034
AT13148,LATS2,27,0.046
AT13148,PLK4,32,0.055
AT13148,CDC7,17,0.029
AT13148,CDK17,11,0.019
AT13148,SGK1,58,0.100
AT13148,MARK3,33,0.057
AT13148,CDK19,13,0.022
AT13148,PASK,30,0.052
AT13148,MAP3K15,9,0.015
AT13148,RIPK3,23,0.040
AT13148,CDK8,16,0.028
AT13148,TLK1,5,0.009
AT13148,TLK2,24,0.041
AT13148,PAK2,52,0.090
AT13148,LATS1,21,0.036
AT13148,AAK1,7,0.012
AT13148,PIM3,82,0.141
AT13148,CDK6,14,0.024
AT13148,TSSK2,59,0.102
AT13148,WNK1,59,0.102
AT13148,BRSK2,49,0.084
AT13148,CAMK4,50,0.086
AT13148,HIPK3,16,0.028
AT13148,AKT3,62,0.107
AT13148,MARK1,35,0.060
AT13148,CDK5,17,0.029
AT13148,GSK3B,47,0.081
AT13148,STK33,14,0.024
AT13148,NEK2,44,0.076
AT13148,TTBK2,15,0.026
AT13148,DYRK3,24,0.041
AT13148,AKT2,62,0.107
AT13148,CDK13,8,0.014
AT13148,GSK3A,18,0.031
AT13148,TGFBR2,1,0.002
AT13148,CDKL1,16,0.028
AT13148,MST1,9,0.015
AT13148,MARK2,33,0.057
AT13148,PRKX,73,0.126
AT13148,DAPK2,62,0.107
AT13148,NEK9,6,0.010
AT13148,ACVR2A,38,0.065
AT13148,MOK,14,0.024
AT13148,HUNK,32,0.055
AT13148,SRPK2,20,0.034
AT13148,DYRK1A,21,0.036
AT13148,CDK3,22,0.038
AT13148,MELK,45,0.077
AT13148,ATR,20,0.034
AT13148,PDK1,28,0.048
AT13148,PHKG2,45,0.077
AT13148,ULK2,6,0.010
AT13148,WNK3,34,0.059
AT13148,BCKDK,27,0.046
AT13148,NEK3,19,0.033
AT13148,CDKL5,20,0.034
AT13148,MARK4,29,0.050
AT13148,PAK3,53,0.091
AT13148,CLK1,27,0.046
AT13148,PLK2,33,0.057
AT13148,MAPKAPK5,31,0.053
AT13148,BRSK1,46,0.079
AT13148,CLK3,18,0.031
AT13148,MTOR,77,0.133
AT13148,DYRK1B,21,0.036
AT13148,PAK6,62,0.107
AT13148,CDK9,15,0.026
AT13148,RIPK1,29,0.050
AT13148,SGK3,62,0.107
AT13148,DYRK2,19,0.033
AT13148,TGFBR1,67,0.115
AT13148,VRK1,1,0.002
AT13148,PRKD2,56,0.096
AT13148,TBK1,4,0.007
AT13148,MAK,15,0.026
AT13148,HIPK4,18,0.031
AT13148,TTBK1,16,0.028
AT13148,CLK4,54,0.093
AT13148,CAMK1G,36,0.062
AT13148,MAPKAPK3,42,0.072
AT13148,PKN2,47,0.081
AT13148,CDK1,21,0.036
AT13148,CAMK2A,29,0.050
AZD1480,NUAK2,32,0.046
AZD1480,DSTYK,19,0.027
AZD1480,HASPIN,55,0.078
AZD1480,NEK1,11,0.016
AZD1480,IRAK1,15,0.021
AZD1480,GRK6,52,0.074
AZD1480,MASTL,17,0.024
AZD1480,GRK3,32,0.046
AZD1480,NUAK1,64,0.091
AZD1480,RAF1,43,0.061
AZD1480,NEK4,19,0.027
AZD1480,PAK5,43,0.061
AZD1480,PHKG1,54,0.077
AZD1480,PLK1,11,0.016
AZD1480,MOS,114,0.162
AZD1480,MYLK4,44,0.063
AZD1480,MYO3A,11,0.016
AZD1480,SRPK3,41,0.058
AZD1480,CDK7,28,0.040
AZD1480,CDK12,22,0.031
AZD1480,SNRK,46,0.066
AZD1480,CAMK1D,71,0.101
AZD1480,ACVR2B,39,0.056
AZD1480,WNK4,67,0.095
AZD1480,BMPR1B,54,0.077
AZD1480,BUB1,83,0.118
AZD1480,ROCK1,72,0.103
AZD1480,NEK11,21,0.030
AZD1480,SMG1,84,0.120
AZD1480,CDK2,30,0.043
AZD1480,PRKD3,58,0.083
AZD1480,BMPR1A,54,0.077
AZD1480,PLK3,36,0.051
AZD1480,PKN3,29,0.041
AZD1480,CDK4,85,0.121
AZD1480,DAPK3,71,0.101
AZD1480,PKN1,57,0.081
AZD1480,CAMK2G,72,0.103
AZD1480,GRK7,34,0.048
AZD1480,PLK4,9,0.013
AZD1480,CDC7,95,0.135
AZD1480,SGK1,70,0.100
AZD1480,GRK2,29,0.041
AZD1480,MARK3,25,0.036
AZD1480,TLK2,9,0.013
AZD1480,RIPK3,18,0.026
AZD1480,CDK6,85,0.121
AZD1480,TSSK2,74,0.105
AZD1480,HIPK3,56,0.080
AZD1480,CAMK4,44,0.063
AZD1480,MARK1,57,0.081
AZD1480,AKT3,55,0.078
AZD1480,NEK2,15,0.021
AZD1480,MYO3B,84,0.120
AZD1480,DYRK3,118,0.168
AZD1480,AKT2,52,0.074
AZD1480,GSK3A,34,0.048
AZD1480,CDKL1,23,0.033
AZD1480,MST1,10,0.014
AZD1480,EEF2K,79,0.113
AZD1480,ACVR2A,34,0.048
AZD1480,HUNK,72,0.103
AZD1480,FAM20C,47,0.067
AZD1480,DYRK1A,121,0.172
AZD1480,MELK,54,0.077
AZD1480,GRK5,41,0.058
AZD1480,ATR,18,0.026
AZD1480,PDK1,66,0.094
AZD1480,PHKG2,63,0.090
AZD1480,WNK3,47,0.067
AZD1480,CDK14,117,0.167
AZD1480,NEK3,16,0.023
AZD1480,MARK4,24,0.034
AZD1480,AKT1,52,0.074
AZD1480,PLK2,38,0.054
AZD1480,NLK,34,0.048
AZD1480,MAPKAPK5,53,0.075
AZD1480,CDK10,23,0.033
AZD1480,BRSK1,51,0.073
AZD1480,CAMK2B,38,0.054
AZD1480,CDK9,29,0.041
AZD1480,GRK4,42,0.060
AZD1480,RIPK1,68,0.097
AZD1480,ATM,15,0.021
AZD1480,SGK3,68,0.097
AZD1480,BMPR2,11,0.016
AZD1480,GRK1,49,0.070
AZD1480,TGFBR1,57,0.081
AZD1480,TBK1,9,0.013
AZD1480,TTBK1,19,0.027
AZD1480,MAPKAPK3,49,0.070
AZD1480,PKN2,52,0.074
AZD1480,CAMK2A,30,0.043
AZD3759,SLK,11,0.029
AZD3759,LATS1,23,0.061
AZD3759,PIM3,26,0.068
AZD3759,MAPKAPK2,36,0.095
AZD3759,PIM1,49,0.129
AZD3759,DSTYK,13,0.034
AZD3759,BMPR1A,29,0.076
AZD3759,GRK6,35,0.092
AZD3759,PRPK,19,0.050
AZD3759,CAMKK2,7,0.018
AZD3759,GRK3,27,0.071
AZD3759,GSK3B,55,0.145
AZD3759,PLK2,28,0.074
AZD3759,PLK3,31,0.082
AZD3759,PIM2,53,0.139
AZD3759,GSK3A,27,0.071
AZD3759,CLK2,79,0.208
AZD3759,GRK4,33,0.087
AZD3759,PINK1,19,0.050
AZD3759,ATM,8,0.021
AZD3759,PRKX,58,0.153
AZD3759,CAMK2G,45,0.118
AZD3759,BMPR2,10,0.026
AZD3759,GRK1,30,0.079
AZD3759,MOS,22,0.058
AZD3759,TGFBR1,27,0.071
AZD3759,LATS2,22,0.058
AZD3759,ACVR2A,31,0.082
AZD3759,GRK7,35,0.092
AZD3759,HUNK,11,0.029
AZD3759,CDC7,19,0.050
AZD3759,ACVR2B,37,0.097
AZD3759,FAM20C,41,0.108
AZD3759,CAMK2D,32,0.084
AZD3759,BMPR1B,32,0.084
AZD3759,GRK2,24,0.063
AZD3759,PBK,6,0.016
AZD3759,GRK5,26,0.068
AZD3759,PASK,31,0.082
AZD3759,CAMK2A,32,0.084
AZD5363,SLK,13,0.025
AZD5363,PAK1,34,0.066
AZD5363,PIM1,27,0.053
AZD5363,PAK4,27,0.053
AZD5363,GRK6,24,0.047
AZD5363,GRK3,23,0.045
AZD5363,PAK5,30,0.058
AZD5363,DAPK1,25,0.049
AZD5363,PHKG1,33,0.064
AZD5363,HIPK1,40,0.078
AZD5363,HIPK2,42,0.082
AZD5363,PLK1,4,0.008
AZD5363,MOS,20,0.039
AZD5363,VRK2,12,0.023
AZD5363,SRPK3,58,0.113
AZD5363,CAMK1D,34,0.066
AZD5363,ACVR2B,22,0.043
AZD5363,WNK4,28,0.054
AZD5363,BMPR1B,18,0.035
AZD5363,NEK8,13,0.025
AZD5363,TTK,3,0.006
AZD5363,ROCK1,42,0.082
AZD5363,SRPK1,55,0.107
AZD5363,MAPKAPK2,34,0.066
AZD5363,PRKD3,49,0.095
AZD5363,BMPR1A,18,0.035
AZD5363,GAK,2,0.004
AZD5363,IRAK4,15,0.029
AZD5363,LRRK2,11,0.021
AZD5363,PRPK,13,0.025
AZD5363,ROCK2,42,0.082
AZD5363,PLK3,20,0.039
AZD5363,PKN3,19,0.037
AZD5363,DAPK3,29,0.056
AZD5363,PIM2,40,0.078
AZD5363,PKN1,29,0.056
AZD5363,CLK2,41,0.080
AZD5363,CAMK2G,26,0.051
AZD5363,LATS2,17,0.033
AZD5363,GRK7,20,0.039
AZD5363,CDC7,14,0.027
AZD5363,SGK1,36,0.070
AZD5363,GRK2,19,0.037
AZD5363,PASK,21,0.041
AZD5363,PAK2,30,0.058
AZD5363,LATS1,17,0.033
AZD5363,PIM3,21,0.041
AZD5363,TSSK2,66,0.128
AZD5363,HIPK3,43,0.084
AZD5363,MARK1,57,0.111
AZD5363,AKT3,42,0.082
AZD5363,CDK5,26,0.051
AZD5363,STK33,16,0.031
AZD5363,DYRK3,50,0.097
AZD5363,AKT2,47,0.091
AZD5363,CDKL1,27,0.053
AZD5363,PRKX,32,0.062
AZD5363,DAPK2,27,0.053
AZD5363,ACVR2A,18,0.035
