pert_in,psts_pred,k_pred,TP,FP,TN,FN,accuracy,precision_1,recall_1,f1-score_1,support_1,precision_0,recall_0,f1-score_0,support_0
AT13148,581,134,5,129,110,3,0.466,0.037,0.625,0.070,8,0.973,0.460,0.625,239
AZD1480,702,93,5,88,119,24,0.525,0.054,0.172,0.082,29,0.832,0.575,0.680,207
AZD3759,380,40,1,39,153,4,0.782,0.025,0.200,0.044,5,0.975,0.797,0.877,192
AZD5363,514,88,13,75,110,22,0.559,0.148,0.371,0.211,35,0.833,0.595,0.694,185
AZD5438,696,111,10,101,98,27,0.458,0.090,0.270,0.135,37,0.784,0.492,0.605,199
AZD6482,480,96,0,96,125,1,0.563,0.000,0.000,0.000,1,0.992,0.566,0.720,221
AZD8055,865,101,4,97,121,7,0.546,0.040,0.364,0.071,11,0.945,0.555,0.699,218
Amuvatinib,290,29,0,29,163,2,0.840,0.000,0.000,0.000,2,0.988,0.849,0.913,192
BX912,817,116,0,116,127,1,0.520,0.000,0.000,0.000,1,0.992,0.523,0.685,243
CAL101,306,61,0,61,148,1,0.705,0.000,0.000,0.000,1,0.993,0.708,0.827,209
CHIR99021,700,71,1,70,146,1,0.674,0.014,0.500,0.027,2,0.993,0.676,0.804,216
CX4945,609,95,14,81,105,34,0.509,0.147,0.292,0.196,48,0.755,0.565,0.646,186
Dabrafenib,704,106,12,94,108,17,0.519,0.113,0.414,0.178,29,0.864,0.535,0.661,202
Dasatinib,599,147,4,143,82,28,0.335,0.027,0.125,0.045,32,0.745,0.364,0.490,225
FRAX486,312,87,1,86,136,5,0.601,0.011,0.167,0.022,6,0.965,0.613,0.749,222
GDC0941,877,86,1,85,125,7,0.578,0.012,0.125,0.021,8,0.947,0.595,0.731,210
GDC0994,601,139,5,134,101,14,0.417,0.036,0.263,0.063,19,0.878,0.430,0.577,235
GF109203X,1131,135,4,131,94,26,0.384,0.030,0.133,0.048,30,0.783,0.418,0.545,225
GO6983,1368,92,5,87,124,16,0.556,0.054,0.238,0.088,21,0.886,0.588,0.707,211
GSK2334470,783,106,1,105,128,6,0.537,0.009,0.143,0.018,7,0.955,0.549,0.698,233
GSK690693,560,103,11,92,120,11,0.560,0.107,0.500,0.176,22,0.916,0.566,0.700,212
Go6976,467,98,7,91,117,24,0.519,0.071,0.226,0.109,31,0.830,0.562,0.670,208
HS173,456,72,1,71,130,8,0.624,0.014,0.111,0.025,9,0.942,0.647,0.767,201
Ipatasertib,653,79,1,78,139,10,0.614,0.013,0.091,0.022,11,0.933,0.641,0.760,217
JNJ,490,72,0,72,141,1,0.659,0.000,0.000,0.000,1,0.993,0.662,0.794,213
JNK,690,99,1,98,124,5,0.548,0.010,0.167,0.019,6,0.961,0.559,0.707,222
KD025,845,110,1,109,124,1,0.532,0.009,0.500,0.018,2,0.992,0.532,0.693,233
Ku0063794,302,56,1,55,146,0,0.728,0.018,1.000,0.035,1,1.000,0.726,0.841,201
LY2090314,774,93,2,91,126,8,0.564,0.022,0.200,0.039,10,0.940,0.581,0.718,217
LY2584702,478,151,1,150,109,6,0.414,0.007,0.143,0.013,7,0.948,0.421,0.583,259
LY2835219,746,74,17,57,87,56,0.479,0.230,0.233,0.231,73,0.608,0.604,0.606,144
MK2206,747,136,3,133,116,0,0.472,0.022,1.000,0.043,3,1.000,0.466,0.636,249
PF3758309,694,116,24,92,73,54,0.399,0.207,0.308,0.247,78,0.575,0.442,0.500,165
PH797804,682,154,0,154,110,2,0.414,0.000,0.000,0.000,2,0.982,0.417,0.585,264
PIK294,457,85,0,85,133,1,0.607,0.000,0.000,0.000,1,0.993,0.610,0.756,218
Ribociclib,440,65,2,63,148,6,0.685,0.031,0.250,0.055,8,0.961,0.701,0.811,211
Ripasudil,549,143,7,136,110,5,0.453,0.049,0.583,0.090,12,0.957,0.447,0.609,246
Selumetinib,753,157,0,157,110,2,0.409,0.000,0.000,0.000,2,0.982,0.412,0.580,267
TGX221,370,64,0,64,143,1,0.688,0.000,0.000,0.000,1,0.993,0.691,0.815,207
Tofacitinib,501,97,1,96,126,3,0.562,0.010,0.250,0.020,4,0.977,0.568,0.718,222
Torin,238,23,1,22,163,0,0.882,0.043,1.000,0.083,1,1.000,0.881,0.937,185
Trametinib,245,32,0,32,159,2,0.824,0.000,0.000,0.000,2,0.988,0.832,0.903,191
Ulixertinib,805,149,0,149,107,4,0.412,0.000,0.000,0.000,4,0.964,0.418,0.583,256
Vemurafenib,655,88,2,86,132,3,0.601,0.023,0.400,0.043,5,0.978,0.606,0.748,218
