pert_in,k_pred,psts_explained,expl_known_psts
AT13148,AURKA,2,0.019
AT13148,PRKCA,17,0.162
AT13148,MAP3K12,1,0.010
AT13148,PRKG1,4,0.038
AT13148,MAP3K8,3,0.029
AT13148,MYLK,2,0.019
AT13148,PRKX,8,0.076
AT13148,MAPK13,1,0.010
AT13148,PHKG2,1,0.010
AT13148,SGK2,3,0.029
AT13148,CAMK2B,3,0.029
AT13148,BRSK1,1,0.010
AT13148,PRKCD,7,0.067
AT13148,SIK1,2,0.019
AT13148,RPS6KB1,6,0.057
AT13148,PHKG1,1,0.010
AT13148,CIT,1,0.010
AT13148,PLK1,5,0.048
AT13148,MAPK12,1,0.010
AT13148,CLK4,1,0.010
AT13148,STK11,1,0.010
AT13148,AURKB,7,0.067
AT13148,PRKY,8,0.076
AT13148,DAPK3,2,0.019
AT13148,PRKCB,9,0.086
AT13148,PAK2,4,0.038
AT13148,CSNK2A2,12,0.114
AT13148,PRKCG,8,0.076
AT13148,SGK1,4,0.038
AT13148,CSNK1E,1,0.010
AT13148,CSNK2A1,26,0.248
AT13148,PRKACA,26,0.248
AT13148,PRKCE,8,0.076
AT13148,PRKCZ,3,0.029
AT13148,NUAK1,3,0.029
AT13148,EIF2AK2,1,0.010
AT13148,SGK3,4,0.038
AT13148,RPS6KA1,5,0.048
AT13148,CDC42BPA,2,0.019
AT13148,DMPK,1,0.010
AT13148,ROCK1,4,0.038
AT13148,CSNK2B,3,0.029
AT13148,MYLK3,1,0.010
AZD1480,CAMK2A,4,0.043
AZD1480,IRAK4,1,0.011
AZD1480,MAPK1,18,0.191
AZD1480,TNK2,1,0.011
AZD1480,CAMK2B,2,0.021
AZD1480,PTK2,1,0.011
AZD1480,TBK1,3,0.032
AZD1480,PRKCB,5,0.053
AZD1480,MTOR,13,0.138
AZD1480,GSK3B,15,0.160
AZD1480,CSNK2A1,20,0.213
AZD1480,DYRK1A,5,0.053
AZD1480,IKBKE,2,0.021
AZD1480,GSK3A,5,0.053
AZD1480,SYK,2,0.021
AZD1480,HIPK2,6,0.064
AZD1480,PRKCZ,4,0.043
AZD1480,PRKD2,1,0.011
AZD1480,GRK5,1,0.011
AZD1480,IKBKB,2,0.021
AZD1480,CDK5,13,0.138
AZD1480,LYN,2,0.021
AZD3759,ILK,2,0.043
AZD3759,MAP3K12,2,0.043
AZD3759,STK17A,1,0.022
AZD3759,DAPK3,3,0.065
AZD3759,MYLK,2,0.043
AZD3759,MTOR,10,0.217
AZD3759,CSNK2A2,11,0.239
AZD3759,EIF2AK2,1,0.022
AZD3759,GRK5,1,0.022
AZD3759,MAPK3,12,0.261
AZD3759,MAPK1,15,0.326
AZD3759,CAMK4,1,0.022
AZD3759,LRRK2,1,0.022
AZD3759,STK11,2,0.043
AZD3759,DAPK2,1,0.022
AZD3759,STK17B,1,0.022
AZD3759,DAPK1,2,0.043
AZD3759,MYLK3,3,0.065
AZD5363,CSNK1G2,1,0.007
AZD5363,PRKX,9,0.066
AZD5363,VRK3,1,0.007
AZD5363,MAPK9,10,0.074
AZD5363,MAPK1,29,0.213
AZD5363,BCR,1,0.007
AZD5363,LRRK2,1,0.007
AZD5363,TNK2,1,0.007
AZD5363,CAMK2B,1,0.007
AZD5363,AKT3,10,0.074
AZD5363,RPS6KA4,5,0.037
AZD5363,MAPK12,1,0.007
AZD5363,PTK2,1,0.007
AZD5363,PRKD3,3,0.022
AZD5363,PRKDC,2,0.015
AZD5363,CLK4,1,0.007
AZD5363,PRKY,9,0.066
AZD5363,STK4,1,0.007
AZD5363,MARK2,4,0.029
AZD5363,TBK1,3,0.022
AZD5363,HIPK1,1,0.007
AZD5363,PAK2,4,0.029
AZD5363,MTOR,12,0.088
AZD5363,PRKCG,3,0.022
AZD5363,CDK9,5,0.037
AZD5363,CSNK2A1,14,0.103
AZD5363,DYRK1A,4,0.029
AZD5363,IKBKE,2,0.015
AZD5363,PINK1,1,0.007
AZD5363,PRKACA,25,0.184
AZD5363,AKT1,17,0.125
AZD5363,STK3,1,0.007
AZD5363,HIPK2,5,0.037
AZD5363,PRKD2,1,0.007
AZD5363,CLK1,1,0.007
AZD5363,STK26,1,0.007
AZD5363,RPS6KA2,5,0.037
AZD5363,TTBK2,1,0.007
AZD5363,MAPK8,11,0.081
AZD5363,VRK1,1,0.007
AZD5363,MYLK3,1,0.007
AZD5363,CDK5,11,0.081
AZD5363,MAP2K1,33,0.243
AZD5363,VRK2,1,0.007
AZD5363,TTBK1,1,0.007
AZD5363,AKT2,11,0.081
AZD5438,EGFR,1,0.010
AZD5438,CDK7,10,0.095
AZD5438,CDK12,12,0.114
AZD5438,CDK20,9,0.086
AZD5438,CDK2,62,0.590
AZD5438,PHKG2,1,0.010
AZD5438,PRKCH,1,0.010
AZD5438,CDK8,9,0.086
AZD5438,CAMK2B,1,0.010
AZD5438,BUB1,2,0.019
AZD5438,PRKD3,1,0.010
AZD5438,CDK17,9,0.086
AZD5438,CLK4,1,0.010
AZD5438,UHMK1,2,0.019
AZD5438,CDK6,11,0.105
AZD5438,CDK10,9,0.086
AZD5438,CDK1,44,0.419
AZD5438,CDK13,9,0.086
AZD5438,CDK18,9,0.086
AZD5438,CDK16,10,0.095
AZD5438,HIPK2,6,0.057
AZD5438,CDK4,12,0.114
AZD5438,CLK1,1,0.010
AZD5438,NLK,3,0.029
AZD5438,CDK19,9,0.086
AZD5438,CSK,1,0.010
AZD5438,PHKG1,1,0.010
AZD5438,CDK5,16,0.152
AZD5438,CDK3,9,0.086
AZD6482,ILK,2,0.105
AZD6482,DYRK3,1,0.053
AZD6482,DAPK3,2,0.105
AZD6482,IRAK4,1,0.053
AZD6482,MAP3K12,2,0.105
AZD6482,CDC7,1,0.053
AZD6482,MAP3K8,2,0.105
AZD6482,MYLK,2,0.105
AZD6482,MAP2K7,1,0.053
AZD6482,MAPK10,2,0.105
AZD6482,CSK,1,0.053
